mode: set
kollab/api/cmd/server/main.go:40.21,41.117 1 0
kollab/api/cmd/server/main.go:41.117,43.17 2 0
kollab/api/cmd/server/main.go:43.17,44.12 1 0
kollab/api/cmd/server/main.go:46.3,50.22 4 0
kollab/api/cmd/server/main.go:50.22,52.50 2 0
kollab/api/cmd/server/main.go:52.50,53.13 1 0
kollab/api/cmd/server/main.go:56.4,57.23 2 0
kollab/api/cmd/server/main.go:57.23,58.13 1 0
kollab/api/cmd/server/main.go:61.4,65.115 3 0
kollab/api/cmd/server/main.go:65.115,67.5 1 0
kollab/api/cmd/server/main.go:69.4,69.41 1 0
kollab/api/cmd/server/main.go:69.41,70.47 1 0
kollab/api/cmd/server/main.go:70.47,72.6 1 0
kollab/api/cmd/server/main.go:75.3,75.8 1 0
kollab/api/cmd/server/main.go:79.13,84.21 3 0
kollab/api/cmd/server/main.go:84.21,87.3 2 0
kollab/api/cmd/server/main.go:89.2,96.17 6 0
kollab/api/cmd/server/main.go:96.17,99.17 3 0
kollab/api/cmd/server/main.go:99.17,101.4 1 0
kollab/api/cmd/server/main.go:102.8,114.17 3 0
kollab/api/cmd/server/main.go:114.17,116.4 1 0
kollab/api/cmd/server/main.go:118.3,119.17 2 0
kollab/api/cmd/server/main.go:119.17,121.4 1 0
kollab/api/cmd/server/main.go:123.3,124.17 2 0
kollab/api/cmd/server/main.go:124.17,126.4 1 0
kollab/api/cmd/server/main.go:130.2,130.37 1 0
kollab/api/cmd/server/main.go:130.37,132.3 1 0
kollab/api/cmd/server/main.go:133.2,136.51 2 0
kollab/api/cmd/server/main.go:136.51,138.3 1 0
kollab/api/cmd/server/main.go:139.2,142.61 2 0
kollab/api/cmd/server/main.go:142.61,144.3 1 0
kollab/api/cmd/server/main.go:145.2,151.17 4 0
kollab/api/cmd/server/main.go:151.17,154.3 1 0
kollab/api/cmd/server/main.go:154.8,154.50 1 0
kollab/api/cmd/server/main.go:154.50,157.3 1 0
kollab/api/cmd/server/main.go:159.2,159.16 1 0
kollab/api/cmd/server/main.go:159.16,161.51 2 0
kollab/api/cmd/server/main.go:161.51,163.4 1 0
kollab/api/cmd/server/main.go:164.3,167.42 3 0
kollab/api/cmd/server/main.go:171.2,185.16 14 0
kollab/api/cmd/server/main.go:185.16,187.3 1 0
kollab/api/cmd/server/main.go:190.2,202.60 11 0
kollab/api/cmd/server/main.go:202.60,204.3 1 0
kollab/api/cmd/server/main.go:207.2,215.35 3 0
kollab/api/cmd/server/main.go:215.35,217.3 1 0
kollab/api/cmd/server/main.go:218.2,218.34 1 0
kollab/api/cmd/server/main.go:218.34,220.3 1 0
kollab/api/cmd/server/main.go:221.2,221.37 1 0
kollab/api/cmd/server/main.go:221.37,223.3 1 0
kollab/api/cmd/server/main.go:226.2,256.16 24 0
kollab/api/cmd/server/main.go:256.16,258.3 1 0
kollab/api/cmd/server/main.go:261.2,269.12 4 0
kollab/api/cmd/server/main.go:269.12,271.77 2 0
kollab/api/cmd/server/main.go:271.77,273.4 1 0
kollab/api/cmd/server/main.go:277.2,287.24 7 0
kollab/api/cmd/server/main.go:287.24,291.56 4 0
kollab/api/cmd/server/main.go:291.56,293.4 1 0
kollab/api/cmd/server/main.go:293.9,295.4 1 0
kollab/api/cmd/server/main.go:297.2,297.42 1 0
kollab/api/internal/ai/factory.go:10.38,12.21 2 0
kollab/api/internal/ai/factory.go:12.21,14.3 1 0
kollab/api/internal/ai/factory.go:15.2,15.21 1 0
kollab/api/internal/ai/factory.go:15.21,18.3 2 0
kollab/api/internal/ai/factory.go:20.2,21.21 2 0
kollab/api/internal/ai/factory.go:21.21,23.3 1 0
kollab/api/internal/ai/factory.go:24.2,24.21 1 0
kollab/api/internal/ai/factory.go:24.21,27.3 2 0
kollab/api/internal/ai/factory.go:29.2,30.26 2 0
kollab/api/internal/ai/gemini.go:20.51,22.17 2 0
kollab/api/internal/ai/gemini.go:22.17,24.3 1 0
kollab/api/internal/ai/gemini.go:25.2,26.22 2 0
kollab/api/internal/ai/gemini.go:26.22,28.3 1 0
kollab/api/internal/ai/gemini.go:29.2,36.3 1 0
kollab/api/internal/ai/gemini.go:59.89,71.61 3 0
kollab/api/internal/ai/gemini.go:71.61,73.3 1 0
kollab/api/internal/ai/gemini.go:75.2,77.16 3 0
kollab/api/internal/ai/gemini.go:77.16,79.3 1 0
kollab/api/internal/ai/gemini.go:80.2,83.16 3 0
kollab/api/internal/ai/gemini.go:83.16,85.3 1 0
kollab/api/internal/ai/gemini.go:86.2,88.38 2 0
kollab/api/internal/ai/gemini.go:88.38,90.3 1 0
kollab/api/internal/ai/gemini.go:92.2,93.69 2 0
kollab/api/internal/ai/gemini.go:93.69,95.3 1 0
kollab/api/internal/ai/gemini.go:97.2,97.85 1 0
kollab/api/internal/ai/gemini.go:97.85,99.3 1 0
kollab/api/internal/ai/gemini.go:101.2,101.58 1 0
kollab/api/internal/ai/gemini.go:117.100,128.61 3 0
kollab/api/internal/ai/gemini.go:128.61,130.3 1 0
kollab/api/internal/ai/gemini.go:132.2,134.16 3 0
kollab/api/internal/ai/gemini.go:134.16,136.3 1 0
kollab/api/internal/ai/gemini.go:137.2,140.16 3 0
kollab/api/internal/ai/gemini.go:140.16,142.3 1 0
kollab/api/internal/ai/gemini.go:143.2,145.38 2 0
kollab/api/internal/ai/gemini.go:145.38,147.3 1 0
kollab/api/internal/ai/gemini.go:149.2,150.69 2 0
kollab/api/internal/ai/gemini.go:150.69,152.3 1 0
kollab/api/internal/ai/gemini.go:154.2,154.39 1 0
kollab/api/internal/ai/ollama.go:20.38,22.19 2 0
kollab/api/internal/ai/ollama.go:22.19,24.3 1 0
kollab/api/internal/ai/ollama.go:25.2,26.22 2 0
kollab/api/internal/ai/ollama.go:26.22,28.3 1 0
kollab/api/internal/ai/ollama.go:29.2,30.21 2 0
kollab/api/internal/ai/ollama.go:30.21,32.3 1 0
kollab/api/internal/ai/ollama.go:33.2,40.3 1 0
kollab/api/internal/ai/ollama.go:52.100,58.61 3 0
kollab/api/internal/ai/ollama.go:58.61,60.3 1 0
kollab/api/internal/ai/ollama.go:62.2,63.16 2 0
kollab/api/internal/ai/ollama.go:63.16,65.3 1 0
kollab/api/internal/ai/ollama.go:66.2,69.16 3 0
kollab/api/internal/ai/ollama.go:69.16,71.3 1 0
kollab/api/internal/ai/ollama.go:72.2,74.38 2 0
kollab/api/internal/ai/ollama.go:74.38,76.3 1 0
kollab/api/internal/ai/ollama.go:78.2,79.69 2 0
kollab/api/internal/ai/ollama.go:79.69,81.3 1 0
kollab/api/internal/ai/ollama.go:83.2,83.32 1 0
kollab/api/internal/ai/ollama.go:96.89,103.61 3 0
kollab/api/internal/ai/ollama.go:103.61,105.3 1 0
kollab/api/internal/ai/ollama.go:107.2,108.16 2 0
kollab/api/internal/ai/ollama.go:108.16,110.3 1 0
kollab/api/internal/ai/ollama.go:111.2,114.16 3 0
kollab/api/internal/ai/ollama.go:114.16,116.3 1 0
kollab/api/internal/ai/ollama.go:117.2,119.38 2 0
kollab/api/internal/ai/ollama.go:119.38,121.3 1 0
kollab/api/internal/ai/ollama.go:123.2,124.69 2 0
kollab/api/internal/ai/ollama.go:124.69,126.3 1 0
kollab/api/internal/ai/ollama.go:128.2,128.31 1 0
kollab/api/internal/ai/openai.go:20.51,22.17 2 0
kollab/api/internal/ai/openai.go:22.17,24.3 1 0
kollab/api/internal/ai/openai.go:25.2,26.22 2 0
kollab/api/internal/ai/openai.go:26.22,28.3 1 0
kollab/api/internal/ai/openai.go:29.2,36.3 1 0
kollab/api/internal/ai/openai.go:58.89,68.61 3 0
kollab/api/internal/ai/openai.go:68.61,70.3 1 0
kollab/api/internal/ai/openai.go:72.2,73.16 2 0
kollab/api/internal/ai/openai.go:73.16,75.3 1 0
kollab/api/internal/ai/openai.go:76.2,80.16 4 0
kollab/api/internal/ai/openai.go:80.16,82.3 1 0
kollab/api/internal/ai/openai.go:83.2,85.38 2 0
kollab/api/internal/ai/openai.go:85.38,87.3 1 0
kollab/api/internal/ai/openai.go:89.2,90.69 2 0
kollab/api/internal/ai/openai.go:90.69,92.3 1 0
kollab/api/internal/ai/openai.go:94.2,94.32 1 0
kollab/api/internal/ai/openai.go:94.32,96.3 1 0
kollab/api/internal/ai/openai.go:98.2,98.49 1 0
kollab/api/internal/ai/openai.go:115.100,121.90 2 0
kollab/api/internal/ai/openai.go:121.90,123.3 1 0
kollab/api/internal/ai/openai.go:125.2,126.61 2 0
kollab/api/internal/ai/openai.go:126.61,128.3 1 0
kollab/api/internal/ai/openai.go:130.2,131.16 2 0
kollab/api/internal/ai/openai.go:131.16,133.3 1 0
kollab/api/internal/ai/openai.go:134.2,138.16 4 0
kollab/api/internal/ai/openai.go:138.16,140.3 1 0
kollab/api/internal/ai/openai.go:141.2,143.38 2 0
kollab/api/internal/ai/openai.go:143.38,145.3 1 0
kollab/api/internal/ai/openai.go:147.2,148.69 2 0
kollab/api/internal/ai/openai.go:148.69,150.3 1 0
kollab/api/internal/ai/openai.go:152.2,152.29 1 0
kollab/api/internal/ai/openai.go:152.29,154.3 1 0
kollab/api/internal/ai/openai.go:156.2,156.40 1 0
kollab/api/internal/attachment/office_converter.go:34.56,36.15 2 1
kollab/api/internal/attachment/office_converter.go:36.15,38.3 1 1
kollab/api/internal/attachment/office_converter.go:39.2,44.3 1 1
kollab/api/internal/attachment/office_converter.go:48.124,56.16 3 1
kollab/api/internal/attachment/office_converter.go:56.16,58.3 1 0
kollab/api/internal/attachment/office_converter.go:60.2,61.16 2 1
kollab/api/internal/attachment/office_converter.go:61.16,63.3 1 0
kollab/api/internal/attachment/office_converter.go:64.2,67.16 3 1
kollab/api/internal/attachment/office_converter.go:67.16,69.3 1 0
kollab/api/internal/attachment/office_converter.go:70.2,72.38 2 0
kollab/api/internal/attachment/office_converter.go:72.38,75.3 2 0
kollab/api/internal/attachment/office_converter.go:77.2,77.12 1 0
kollab/api/internal/attachment/office_converter.go:80.94,82.16 2 0
kollab/api/internal/attachment/office_converter.go:82.16,84.3 1 0
kollab/api/internal/attachment/office_converter.go:86.2,87.16 2 0
kollab/api/internal/attachment/office_converter.go:87.16,89.3 1 0
kollab/api/internal/attachment/office_converter.go:90.2,92.38 2 0
kollab/api/internal/attachment/office_converter.go:92.38,95.3 2 0
kollab/api/internal/attachment/office_converter.go:97.2,98.67 2 0
kollab/api/internal/attachment/office_converter.go:98.67,100.3 1 0
kollab/api/internal/attachment/office_converter.go:102.2,102.21 1 0
kollab/api/internal/attachment/office_converter.go:105.130,112.16 3 0
kollab/api/internal/attachment/office_converter.go:112.16,114.3 1 0
kollab/api/internal/attachment/office_converter.go:116.2,117.16 2 0
kollab/api/internal/attachment/office_converter.go:117.16,119.3 1 0
kollab/api/internal/attachment/office_converter.go:120.2,123.16 3 0
kollab/api/internal/attachment/office_converter.go:123.16,125.3 1 0
kollab/api/internal/attachment/office_converter.go:126.2,128.38 2 0
kollab/api/internal/attachment/office_converter.go:128.38,131.3 2 0
kollab/api/internal/attachment/office_converter.go:133.2,134.67 2 0
kollab/api/internal/attachment/office_converter.go:134.67,136.3 1 0
kollab/api/internal/attachment/office_converter.go:138.2,138.21 1 0
kollab/api/internal/attachment/repository.go:17.70,22.2 1 0
kollab/api/internal/attachment/repository.go:24.96,29.2 4 0
kollab/api/internal/attachment/repository.go:31.108,35.9 4 0
kollab/api/internal/attachment/repository.go:35.9,37.3 1 0
kollab/api/internal/attachment/repository.go:38.2,38.17 1 0
kollab/api/internal/attachment/repository.go:41.122,45.36 4 0
kollab/api/internal/attachment/repository.go:45.36,46.30 1 0
kollab/api/internal/attachment/repository.go:46.30,48.4 1 0
kollab/api/internal/attachment/repository.go:50.2,50.18 1 0
kollab/api/internal/attachment/repository.go:53.85,59.2 5 0
kollab/api/internal/attachment/repository.go:61.115,64.23 3 0
kollab/api/internal/attachment/repository.go:64.23,66.3 1 0
kollab/api/internal/attachment/repository.go:67.2,68.12 2 0
kollab/api/internal/attachment/repository.go:71.130,75.9 4 0
kollab/api/internal/attachment/repository.go:75.9,77.3 1 0
kollab/api/internal/attachment/repository.go:78.2,78.20 1 0
kollab/api/internal/attachment/service.go:23.108,32.25 2 1
kollab/api/internal/attachment/service.go:32.25,34.3 1 1
kollab/api/internal/attachment/service.go:36.2,36.10 1 1
kollab/api/internal/attachment/service.go:39.171,43.62 3 1
kollab/api/internal/attachment/service.go:43.62,45.3 1 0
kollab/api/internal/attachment/service.go:47.2,58.46 2 1
kollab/api/internal/attachment/service.go:58.46,61.3 2 0
kollab/api/internal/attachment/service.go:64.2,68.31 4 1
kollab/api/internal/attachment/service.go:68.31,73.12 4 0
kollab/api/internal/attachment/service.go:73.12,77.4 3 0
kollab/api/internal/attachment/service.go:79.3,88.23 3 0
